,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Computed Density
0,2002-10-23 22:00:02,-6505563.602756815,-1770355.066813006,-633046.6141214069,-593.0905680104257,-542.9891546143044,7635.3588539461525,1.4740398141199762e-05,3.5914794520586213e-06,1.4893659575077045e-05,9.219772967059975e-12,9.252161141499007e-12,8.225910940919722e-12,1.0821704265473498e-10
1,2002-10-23 22:00:17,-6513518.587007306,-1778243.4476570592,-518429.9507631464,-467.5782129334348,-508.7777886921227,7646.491418387999,1.5097490040361095e-05,3.2999911843134555e-06,2.0111085634932913e-05,9.227594239610409e-12,9.151478040739946e-12,8.214085467940329e-12,1.5235694583368395e-10
2,2002-10-23 22:00:32,-6519589.933476242,-1785617.571840677,-403662.9341739927,-341.9265613644326,-474.4182469459714,7655.406614541665,1.664989063954181e-05,4.86394920962141e-06,-7.139966248237428e-07,9.232889460995349e-12,9.045006571746478e-12,8.202019245865088e-12,-1.418580935803509e-11
3,2002-10-23 22:00:47,-6523775.871867878,-1792475.304101739,-288778.8511857906,-216.17248773346532,-439.92059907421503,7662.101739316424,1.7019453528277495e-05,5.0509724172087545e-06,-2.250046745477796e-06,9.235636196757901e-12,8.934078071787348e-12,8.18979950750286e-12,-2.435071013597097e-11
4,2002-10-23 22:01:02,-6526074.865833845,-1798814.5731230243,-173811.00169502437,-90.35287467729663,-405.2949329558871,7666.574375683473,1.7256264428056056e-05,4.70516244854835e-06,3.2023170645212318e-06,9.235861617258985e-12,8.820072765036171e-12,8.177541994115013e-12,2.2113052637647904e-11
5,2002-10-23 22:01:17,-6526486.314815254,-1804633.5633669111,-58792.73785673666,35.495362340439954,-370.551409192697,7668.823250861729,1.8034493237450988e-05,4.829032672848399e-06,2.9889606646821276e-06,9.233541863288796e-12,8.70428801062036e-12,8.16529627159816e-12,2.2833785008465506e-11
6,2002-10-23 22:01:32,-6525010.02350151,-1809930.570880312,56242.57451186366,161.33530304064027,-335.700215644503,7668.847583417387,1.849699613032385e-05,5.136504196645575e-06,4.426841989368935e-07,9.228678181297813e-12,8.587990546058718e-12,8.153115302504953e-12,4.849053230519922e-12
7,2002-10-23 22:01:47,-6521646.481785694,-1814704.0822686807,171261.5672034603,287.13004070918674,-300.7515764810831,7666.647413058048,1.7800189045402703e-05,5.362536707576027e-06,-8.883853512831053e-07,9.221256821198179e-12,8.472353141041536e-12,8.141017380292535e-12,-3.520033029411506e-12
8,2002-10-23 22:02:02,-6516396.538906378,-1818952.6838281362,286230.8755119401,412.8426763197758,-265.7157334163528,7662.223211546781,1.631708555471789e-05,5.35087139752477e-06,-1.285248899141056e-06,9.211295604250747e-12,8.358481428202283e-12,8.129028495694288e-12,-4.799169136302503e-12
9,2002-10-23 22:02:17,-6509261.796280397,-1822675.170058924,401117.1511261098,538.4363280323734,-230.6029620308562,7655.576357727049,1.5099104777149819e-05,5.10176576984378e-06,-1.0348623279421432e-06,9.198787635729731e-12,8.247343981961557e-12,8.117130007339659e-12,-1.0519982241632262e-12
10,2002-10-23 22:02:32,-6500244.226596749,-1825870.438973241,515887.06155498273,663.8741322521222,-195.42355276321172,7646.708682651441,1.4479953879487084e-05,4.631327427340182e-06,-4.4929037901209057e-07,9.183755762621804e-12,8.139814594618634e-12,8.105308634040587e-12,5.506545135659237e-12
11,2002-10-23 22:02:47,-6489346.535454814,-1828537.59442697,630507.3211934775,789.1192811786024,-160.18782161770537,7635.622919128635,1.4993220421644082e-05,4.112310118653539e-06,2.1212959921967922e-07,9.166200515723122e-12,8.036616592579777e-12,8.093508732914172e-12,1.3406702898394766e-11
12,2002-10-23 22:03:02,-6476571.795563582,-1830675.8433408423,744944.6740668049,914.1350077207181,-124.90609525724255,7622.322250272271,1.6032785490338597e-05,3.7351932151707956e-06,6.555526812501711e-07,9.146152335740129e-12,7.938370269636814e-12,8.081680793980405e-12,2.0122792348245797e-11
13,2002-10-23 22:03:17,-6461923.815160125,-1832284.5990513023,859165.9358354397,1038.884651830231,-89.58871741353794,7606.810758659755,1.7272444368998663e-05,3.6507382965567103e-06,2.631532352026511e-07,9.123618500480561e-12,7.845545296415766e-12,8.069733461741815e-12,2.0575155659461436e-11
14,2002-10-23 22:03:32,-6445406.768978579,-1833363.3783468083,973137.9651045521,1163.3316133126064,-54.2460387046098,7589.09297099506,1.814614364548106e-05,3.7432312889329467e-06,-6.775403535996816e-07,9.098635602224284e-12,7.758514364618372e-12,8.057582936213308e-12,1.6524979958357386e-11
15,2002-10-23 22:03:47,-6427025.562213274,-1833911.9054081594,1086827.7206228317,1287.439424345266,-18.888420224881454,7569.174291024625,1.822477145729806e-05,3.857231310355758e-06,-1.8177214811121445e-06,9.07121677624202e-12,7.677512798186298e-12,8.0451059790381e-12,1.0081171500391001e-11
16,2002-10-23 22:04:02,-6406785.464259481,-1833930.008082898,1200202.2175138441,1411.1716866674249,16.47377295608305,7547.0605620504475,1.7462642347254587e-05,3.9615644933377325e-06,-2.8839417607340323e-06,9.041403421933023e-12,7.602695507716052e-12,8.032189565997194e-12,3.054660483569299e-12
17,2002-10-23 22:04:17,-6384692.470856048,-1833417.7214932006,1313228.5962571402,1534.492147893522,51.83017034456165,7522.758508554235,1.6347427136409465e-05,4.1540014850127704e-06,-3.0521874223587986e-06,9.00921163114584e-12,7.534100918705293e-12,8.018684538084165e-12,2.4231118658126306e-12
18,2002-10-23 22:04:32,-6360752.939847344,-1832375.1843744963,1425874.0666691887,1657.364638711226,87.17040206200407,7496.275298880834,1.5374878721274854e-05,4.361201006108928e-06,-2.3003273668109614e-06,8.974681487243163e-12,7.4717090257964e-12,8.004455533684833e-12,9.023170753332512e-12
19,2002-10-23 22:04:47,-6334973.951156227,-1830802.7426405926,1538105.9905581535,1779.7531762259082,122.48410611470493,7467.618995647928,1.576575590434004e-05,4.7746301725659634e-06,-1.3740781925619672e-06,8.937855400414278e-12,7.41540712916642e-12,7.989335125895943e-12,1.9284792962600086e-11
20,2002-10-23 22:05:02,-6307362.943925389,-1828700.8457900193,1649891.812662512,1901.621885058501,157.76092814951414,7436.798104068008,1.6893406298734703e-05,5.219508086184987e-06,-9.413880968089927e-07,8.898817582374061e-12,7.365047185155137e-12,7.973174053403618e-12,2.723374529846433e-11
21,2002-10-23 22:05:17,-6277928.072098334,-1826070.150481821,1761199.1574503025,2022.9351334744613,192.990536490658,7403.822005459944,1.8278783054270775e-05,5.518339491583646e-06,-1.9068909451469551e-06,8.857623501448794e-12,7.320411568477023e-12,7.95579588612526e-12,2.510563938438233e-11
22,2002-10-23 22:05:32,-6246677.845202664,-1822911.4167261783,1871995.7452301155,2143.6574190683605,228.16261192291216,7368.700508908313,1.9048847816449666e-05,5.578557109586768e-06,-3.6077442460147324e-06,8.814354415521537e-12,7.281268238721594e-12,7.937047243525031e-12,1.627590904499153e-11
23,2002-10-23 22:05:47,-6213621.480301546,-1819225.6107773038,1982249.499943185,2263.753513106696,263.2668623958735,7331.444258454166,1.841797852808469e-05,5.377835633257888e-06,-5.504731015459896e-06,8.769067200210506e-12,7.247335218743852e-12,7.916752822432012e-12,2.854473404091722e-12
24,2002-10-23 22:06:02,-6178768.546166252,-1815013.801603942,2091928.4540068312,2383.1883227615685,298.29301052905396,7292.064311372816,1.7003423911532423e-05,5.004411400388875e-06,-6.642563756376063e-06,8.721845412625239e-12,7.218332873867107e-12,7.894765400679228e-12,-6.7870811183591614e-12
25,2002-10-23 22:06:17,-6142129.31086492,-1810277.262788931,2201000.8701100764,2501.927025155575,333.23081045680544,7250.572542920169,1.5412952971693983e-05,4.658535333490477e-06,-6.6048583091671276e-06,8.672748863563477e-12,7.193946368142794e-12,7.870920994587429e-12,-8.20510188020142e-12
26,2002-10-23 22:06:32,-6103714.38988885,-1805017.3702951963,2309435.1318349997,2619.9349341603697,368.0700355208643,7206.981241916814,1.4037239915332123e-05,4.231933567133694e-06,-6.158709916270766e-06,8.621863738960464e-12,7.1738749596963255e-12,7.845088482641835e-12,-6.390814557605253e-12
27,2002-10-23 22:06:47,-6063535.08912515,-1799235.7049919239,2417199.8760642027,2737.1776406933127,402.8005043776693,7161.30353346147,1.3220791511336927e-05,3.772140007463065e-06,-4.952989352879911e-06,8.569252754561212e-12,7.157792325096227e-12,7.817124794679067e-12,2.3263967096309644e-12
28,2002-10-23 22:07:02,-6021603.057863974,-1792933.9494784316,2524263.8730139025,2853.6208850785774,437.4120615863482,7113.552963696476,1.3435364412117679e-05,3.3977927893502624e-06,-3.1486139429048876e-06,8.515004525739523e-12,7.145393054813684e-12,7.786923852153181e-12,1.8301445796821082e-11
29,2002-10-23 22:07:17,-5977930.628611853,-1786113.9883683058,2630596.17293425,2969.2307282218408,471.89461000208576,7063.743926660592,1.580301520309746e-05,3.6644477661162966e-06,-2.1940528260877556e-06,8.459183834990492e-12,7.1363507822571875e-12,7.754371375429594e-12,3.483843009436812e-11
30,2002-10-23 22:07:32,-5932530.4722447945,-1778777.8069874384,2736165.9720986704,3083.9734047753836,506.2380822756054,7011.891235996322,1.8379045607197497e-05,4.701213353275335e-06,-3.487863582840589e-06,8.401880811243289e-12,7.130362771481577e-12,7.71939333845499e-12,3.636268050031265e-11
31,2002-10-23 22:07:47,-5885415.929900329,-1770927.5914966767,2840942.7708397596,3197.815523796351,540.4324719437286,6958.010535864824,1.9104122456425898e-05,5.490141142594496e-06,-6.450583270645183e-06,8.343162045081468e-12,7.127106752902915e-12,7.681910820967512e-12,2.0135924666913393e-11
32,2002-10-23 22:08:02,-5836600.675614806,-1762565.6280445745,2944896.227932018,3310.723891328434,574.4678042654269,6902.117879129401,1.771317095222713e-05,5.167650219295439e-06,-8.372475794882206e-06,8.283118810283201e-12,7.126283716713593e-12,7.641887230193195e-12,3.991704306704293e-12
33,2002-10-23 22:08:17,-5786099.0447583245,-1753694.4018955617,3047996.3318584,3422.665726956605,608.3341705021735,6844.230122943332,1.632721679278859e-05,4.376116990112422e-06,-8.672887795491135e-06,8.221818486797606e-12,7.127573419872787e-12,7.599282564429437e-12,-8.849860593644557e-13
34,2002-10-23 22:08:32,-5733925.699424219,-1744316.4971577846,3150213.241671597,3533.6084649586824,642.0216991381599,6784.364520388412,1.5536492698586812e-05,3.917994403135339e-06,-8.35089183581772e-06,8.159352494351756e-12,7.130676680155954e-12,7.55409994790925e-12,7.738042507054449e-13
35,2002-10-23 22:08:47,-5680095.947264998,-1734434.6941983835,3251517.4689948033,3643.519984842577,675.5206015459399,6722.539103970541,1.4898282249653505e-05,4.091607588740942e-06,-8.242195005614406e-06,8.095788812862594e-12,7.1352707883961304e-12,7.506340056652195e-12,1.6995082334863317e-12
36,2002-10-23 22:09:02,-5624625.415896916,-1724051.8710049659,3351879.7075820607,3752.3683959877853,708.8211344056995,6658.772287631226,1.4360637663912712e-05,4.412428629585463e-06,-7.65853696371721e-06,8.031218817504487e-12,7.141051244130829e-12,7.456046157214125e-12,6.311076070568321e-12
37,2002-10-23 22:09:17,-5567530.367232017,-1713171.099788016,3451271.027140313,3860.122282030067,741.9136527397814,6593.083231630308,1.4560143649866575e-05,4.709149756809694e-06,-7.330607900257746e-06,7.965710254733694e-12,7.14768696149022e-12,7.403258130907027e-12,1.1942653367178877e-11
38,2002-10-23 22:09:32,-5508827.376177826,-1701795.5490529616,3549662.6907503605,3966.75046725018,774.7885614410337,6525.491459749054,1.527762068942451e-05,4.9748882684497175e-06,-7.659046740826625e-06,7.89935361212454e-12,7.154862589013902e-12,7.348056642838799e-12,1.5219759787443786e-11
39,2002-10-23 22:09:47,-5448533.635327972,-1689928.5782621321,3647026.3590355427,4072.222264252632,807.4363665421691,6456.017203536127,1.5446391619100552e-05,4.965490586261723e-06,-8.782536593088253e-06,7.832216155826224e-12,7.1622345021673506e-12,7.290517473369632e-12,1.0729342135252465e-11
40,2002-10-23 22:10:02,-5386666.64286586,-1677573.6414200945,3743333.896699736,4176.50722944485,839.8476241245475,6384.681043346169,1.4874839230571979e-05,4.691283677082936e-06,-9.881396470845516e-06,7.764387258638777e-12,7.169473636369155e-12,7.230754326870108e-12,3.1143966336449007e-12
41,2002-10-23 22:10:17,-5323244.501647897,-1664734.3797434606,3838557.5872264276,4279.575406122184,872.0129893242536,6311.504246990377,1.3713716274565968e-05,4.241103391144918e-06,-1.0023503837608416e-05,7.695933070046108e-12,7.176222187508645e-12,7.1688732200845295e-12,-9.3853511013979e-13
42,2002-10-23 22:10:32,-5258285.612979939,-1651414.5277511505,3932669.9284743243,4381.3970834097545,903.9231674819085,6236.5084264557545,1.2896281211816074e-05,3.900938636114404e-06,-9.271778503183725e-06,7.626941169024867e-12,7.1821376088717546e-12,7.1050143851590635e-12,2.310293251658826e-12
43,2002-10-23 22:10:47,-5191808.96729264,-1637618.005959265,4025643.857023406,4481.943046863801,935.5689657015488,6159.715882975999,1.3240767112954188e-05,3.885317194640692e-06,-8.406175301622909e-06,7.557476104610349e-12,7.18685047006433e-12,7.039307144816261e-12,1.1785079641706007e-11
44,2002-10-23 22:11:02,-5123833.84569023,-1623348.8265134373,4117452.534182886,4581.184338500938,966.9412444226392,6081.149261041507,1.3956986729901644e-05,4.00233152220153e-06,-8.33485238782572e-06,7.487623219865319e-12,7.190009623080103e-12,6.971910879797424e-12,1.802891834479546e-11
45,2002-10-23 22:11:17,-5054380.102846435,-1608611.1820802488,4208069.58145764,4679.0925297481635,998.0309756629445,6000.831888922726,1.4487120075123983e-05,4.162438155930204e-06,-9.035325430950536e-06,7.417444964260119e-12,7.191241207602048e-12,6.902970502059038e-12,1.8661843183957072e-11
46,2002-10-23 22:11:32,-4983467.876411147,-1593409.3552472105,4297468.855234915,4775.639464889692,1028.829190124376,5918.787429726153,1.4565680671374537e-05,4.238626239327914e-06,-9.689864069351017e-06,7.347023919352976e-12,7.1901949650445874e-12,6.832656636289073e-12,1.7451718265921825e-11
47,2002-10-23 22:11:47,-4911117.8623694135,-1577747.8077646035,4385624.691235792,4870.797550228253,1059.327041667139,5835.040202122385,1.4502982815578491e-05,4.308609180991851e-06,-1.0439851588550653e-05,7.276419871562666e-12,7.186504295818979e-12,6.761121877862526e-12,1.505232505726634e-11
